Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.44056e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.44056e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.44056e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.44056e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.44056e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.44056e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,4.04863e+07,6.69644e+06,19.192,19.192,19.192,19.192,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,6.75161e+07,0,1.01106e+08,6.69644e+06,19.0831,19.0831,24.0486,19.0831,2.20164,0,1.64721e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,2.7457e+07,0,5.35731e+07,6.69644e+06,19.1797,19.1797,24.0486,19.1797,0.941781,0,6.90303e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.19513e+07,0,8.27594e+07,6.69644e+06,19.2006,19.2006,24.0486,19.2006,1.12365,0,8.20065e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,8.44301e+06,0,1.43539e+08,6.69644e+06,19.2362,19.2362,24.0486,19.2362,0.252288,0,1.82772e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,7.80404e+06,0,1.42768e+08,6.69644e+06,19.2787,19.2787,24.0486,19.2787,0.226463,0,1.62611e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.66951e+07,910381,2.26723e+08,6.69644e+06,19.5353,19.5353,24.0486,19.5353,1.02154,0,6.93834e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.83273e+07,469032,2.2795e+08,6.69644e+06,19.5228,19.5228,24.0486,19.5228,1.07192,0,7.30285e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,2.99313e+07,3.66715e+06,2.69289e+08,6.69644e+06,19.8906,19.8906,24.0486,19.8906,1.2239,0,7.60003e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,2.99511e+07,8.61414e+06,2.74981e+08,6.69644e+06,21.2645,21.2645,24.0486,21.2645,1.37557,0,5.76378e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.13585e+07,1.00637e+07,2.78203e+08,6.69644e+06,21.6029,21.6029,24.0486,21.6029,1.48773,0,5.47585e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.29906e+07,0,2.1361e+08,6.69644e+06,19.9191,19.9191,24.0486,19.9191,1.25495,0,7.80052e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,8.57547e+06,0,1.11233e+08,6.69644e+06,19.3847,19.3847,24.0486,19.3847,0.253032,0,1.77687e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.80954e+06,0,4.55388e+07,6.69644e+06,19.274,19.274,24.0486,19.274,0.136745,0,9.8341e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,4.04863e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,4.04863e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,4.04863e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,4.04863e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.65669e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.65669e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.65669e+07,6.69644e+06,19.1921,19.1921,19.1921,19.1921,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,767678,0,3.73363e+07,6.69644e+06,19.1918,19.1918,21.6204,19.1918,0.000945443,0,69128.6,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.57002e+06,0,3.81429e+07,6.69644e+06,19.1895,19.1895,24.0486,19.1895,0.00333853,0,244213,0
01/02/2009 06:00,1,2,5,6,0,-15,83,9.73292e+07,0,1.47826e+08,6.69644e+06,18.9477,18.9477,24.0486,18.9477,3.00413,0,2.30465e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,4.67606e+07,0,9.77616e+07,6.69644e+06,19.0004,19.0004,24.0486,19.0004,1.80682,0,1.37316e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.33654e+07,0,1.35996e+08,6.69644e+06,19.0095,19.0095,24.0486,19.0095,1.65406,0,1.25479e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,2.16451e+07,0,1.76565e+08,6.69644e+06,19.1198,19.1198,24.0486,19.1198,0.71019,0,5.26958e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,9.73982e+06,0,3.40664e+08,6.69644e+06,19.2246,19.2246,24.0486,19.2246,0.29591,0,2.14889e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,8.15795e+06,0,2.9151e+08,6.69644e+06,19.2896,19.2896,24.0486,19.2896,0.248675,0,1.78153e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.12172e+06,1.5385e+07,3.08226e+08,6.69644e+06,23.7193,23.7193,24.9831,21.9443,0.533638,0.196205,9.83364e+06,1.05132e+07
01/02/2009 13:00,1,2,5,13,0,-5,54,3.85675e+07,2.06266e+07,3.48051e+08,6.69644e+06,23.6123,23.6123,24.4959,23.3427,1.83,0.35476,2.39786e+07,4.31749e+06
01/02/2009 14:00,1,2,5,14,0,-5,54,3.88299e+07,2.36917e+07,3.99365e+08,6.69644e+06,23.2666,23.2666,24.0486,23.2666,2.31717,0,2.72571e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,3.99106e+07,3.36306e+07,4.05662e+08,6.69644e+06,24.1457,24.1457,24.2096,23.9087,2.04979,0.68839,1.76025e+06,4.90936e+06
01/02/2009 16:00,1,2,5,16,0,-7,92,4.16849e+07,3.30572e+07,4.26741e+08,6.69644e+06,24.1081,24.1081,24.1081,24.0486,0,2.7918,0,2.49812e+06
01/02/2009 17:00,1,2,5,17,0,-8,92,4.32813e+07,3.1112e+07,4.19531e+08,6.69644e+06,23.8236,23.8236,24.0486,23.8236,2.7843,0,9.42727e+06,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.3477e+07,2.70396e+07,4.38647e+08,6.69644e+06,23.4426,23.4426,24.0486,23.4426,2.64242,0,2.40958e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,8.13537e+06,1.50796e+07,2.51215e+08,6.69644e+06,25.4931,25.4931,25.4931,24.0486,0,0.743203,0,1.61822e+07
01/02/2009 20:00,1,2,5,20,0,-11,84,8.74841e+06,6.94803e+06,2.33668e+08,6.69644e+06,25.2503,25.2503,25.2503,24.0486,0,0.470533,0,8.49919e+06
01/02/2009 21:00,1,2,5,21,0,-11,91,1.71597e+06,6.34694e+06,2.25442e+08,6.69644e+06,25.8908,25.8908,25.8908,24.0486,0,0.175125,0,4.85625e+06
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,9.34125e+07,6.69644e+06,27.0324,27.0324,27.0324,27.0324,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,4.26477e+07,6.69644e+06,27.0324,27.0324,27.0324,27.0324,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,4.26477e+07,6.69644e+06,27.0324,27.0324,27.0324,27.0324,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,3.65669e+07,6.69644e+06,27.0324,27.0324,27.0324,27.0324,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,3.65669e+07,6.69644e+06,27.0324,27.0324,27.0324,27.0324,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,3.65669e+07,6.69644e+06,27.0324,27.0324,27.0324,27.0324,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,1.55024e+06,0,3.81215e+07,6.69644e+06,27.0073,27.0073,27.0073,24.0486,0,0.00242966,0,107903
01/03/2009 05:00,1,3,6,5,0,-14,76,1.58628e+06,0,3.81603e+07,6.69644e+06,26.9156,26.9156,26.9156,24.0486,0,0.00402138,0,173462
01/03/2009 06:00,1,3,6,6,0,-14,76,8.02938e+07,0,1.29592e+08,6.69644e+06,19.3247,19.3247,24.0486,19.3247,2.75276,0,1.74932e+08,0
01/03/2009 07:00,1,3,6,7,0,-14,76,3.96766e+07,0,8.92366e+07,6.69644e+06,19.01,19.01,24.0486,19.01,1.50109,0,1.13863e+08,0
01/03/2009 08:00,1,3,6,8,0,-17,83,3.89246e+07,0,1.30697e+08,6.69644e+06,18.9833,18.9833,24.0486,18.9833,1.47399,0,1.12401e+08,0
01/03/2009 09:00,1,3,6,9,0,-13,69,1.48653e+07,0,1.6878e+08,6.69644e+06,19.1199,19.1199,24.0486,19.1199,0.503785,0,3.73797e+07,0
01/03/2009 10:00,1,3,6,10,0,-11,70,8.8206e+06,3.99473e+06,3.37504e+08,6.69644e+06,20.1311,20.1311,24.0486,20.1311,0.380716,0,2.11995e+07,0
01/03/2009 11:00,1,3,6,11,0,-9,53,7.68791e+06,1.00296e+07,3.026e+08,6.69644e+06,23.1031,23.1031,24.2378,22.9139,0.131154,0.437825,4.47931e+06,2.49218e+06
01/03/2009 12:00,1,3,6,12,0,-8,49,7.38986e+06,2.00112e+07,3.13911e+08,6.69644e+06,27.1905,27.1905,27.1905,24.0486,0,0.90019,0,4.28115e+07
01/03/2009 13:00,1,3,6,13,0,-7,41,4.12935e+07,2.83219e+07,3.60095e+08,6.69644e+06,24.0837,24.0837,24.3455,23.7869,1.73115,0.862104,1.02263e+07,1.15486e+07
01/03/2009 14:00,1,3,6,14,0,-7.1,43,4.12569e+07,3.4264e+07,3.67112e+08,6.69644e+06,24.1211,24.1211,24.1211,24.0486,0,2.82299,0,3.07797e+06
01/03/2009 15:00,1,3,6,15,0,-7.8,48,4.21395e+07,4.16051e+07,4.17565e+08,6.69644e+06,24.6566,24.6566,24.6566,24.0486,0,3.14924,0,2.88054e+07
01/03/2009 16:00,1,3,6,16,0,-9,58,4.40382e+07,4.40128e+07,4.22461e+08,6.69644e+06,24.7425,24.7425,24.7425,24.0486,0,3.32383,0,3.46944e+07
01/03/2009 17:00,1,3,6,17,0,-9,58,4.45654e+07,3.59288e+07,4.20015e+08,6.69644e+06,24.1719,24.1719,24.1719,24.0486,0,3.02664,0,5.61079e+06
01/03/2009 18:00,1,3,6,18,0,-9,58,4.49173e+07,2.99227e+07,4.43583e+08,6.69644e+06,23.609,23.609,24.0486,23.609,2.80822,0,1.8575e+07,0
01/03/2009 19:00,1,3,6,19,0,-9,58,8.03433e+06,1.70743e+07,2.53469e+08,6.69644e+06,25.8633,25.8633,25.8633,24.0486,0,0.815111,0,2.22574e+07
01/03/2009 20:00,1,3,6,20,0,-9,53,8.16954e+06,9.11986e+06,2.35573e+08,6.69644e+06,25.9355,25.9355,25.9355,24.0486,0,0.521083,0,1.47874e+07
01/03/2009 21:00,1,3,6,21,0,-8,58,1.6474e+06,7.7271e+06,2.26996e+08,6.69644e+06,26.8753,26.8753,26.8753,24.0486,0,0.223952,0,9.52816e+06
01/03/2009 22:00,1,3,6,22,0,-9,70,0,0,9.34125e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-9,70,0,0,4.26477e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-9,70,0,0,4.26477e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-8,64,0,0,3.65669e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-10,70,0,0,3.65669e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-9,70,0,0,3.65669e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-10,76,0,0,3.65669e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-8,70,0,0,3.65669e+07,6.69644e+06,28.03,28.03,28.03,28.03,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-9.6,70,6.0248e+07,0,1.06742e+08,6.69644e+06,19.5698,19.5698,24.0486,19.5698,2.15301,0,1.22099e+08,0
01/04/2009 07:00,1,4,0,7,0,-11,70,3.37735e+07,0,8.21051e+07,6.69644e+06,19.0508,19.0508,24.0486,19.0508,1.2392,0,9.32368e+07,0
01/04/2009 08:00,1,4,0,8,0,-8,64,2.98972e+07,0,1.19764e+08,6.69644e+06,19.0715,19.0715,24.0486,19.0715,1.06969,0,8.0149e+07,0
01/04/2009 09:00,1,4,0,9,0,-4,45,1.60888e+07,0,1.79237e+08,6.69644e+06,19.1667,19.1667,24.0486,19.1667,0.546119,0,4.01356e+07,0
01/04/2009 10:00,1,4,0,10,0,-1,32,6.14463e+06,1.55639e+06,2.91062e+08,6.69644e+06,19.4254,19.4254,24.0486,19.4254,0.215241,0,1.46825e+07,0
01/04/2009 11:00,1,4,0,11,0,0,32,5.94541e+06,8.57199e+06,2.98968e+08,6.69644e+06,22.5356,22.5356,24.2861,22.2981,0.273544,0.164078,8.41411e+06,1.75864e+06
01/04/2009 12:00,1,4,0,12,0,1,33,5.72828e+06,2.13276e+07,3.61085e+08,6.69644e+06,27.3376,27.3376,27.3376,24.0486,0,0.887904,0,4.54327e+07
01/04/2009 13:00,1,4,0,13,0,2,34,2.85971e+07,2.52877e+07,3.90264e+08,6.69644e+06,25.0703,25.0703,25.0703,24.0486,0,1.95236,0,2.98342e+07
01/04/2009 14:00,1,4,0,14,0,3,29,2.64975e+07,3.72717e+07,3.54825e+08,6.69644e+06,25.6506,25.6506,25.6506,24.0486,0,2.32437,0,5.61431e+07
01/04/2009 15:00,1,4,0,15,0,4,32,2.46866e+07,4.45147e+07,4.02262e+08,6.69644e+06,26.4794,26.4794,26.4794,24.0486,0,2.53475,0,9.27073e+07
01/04/2009 16:00,1,4,0,16,0,2,40,2.76505e+07,4.74307e+07,4.0891e+08,6.69644e+06,26.4349,26.4349,26.4349,24.0486,0,2.77152,0,9.95037e+07
01/04/2009 17:00,1,4,0,17,0,1,43,2.94207e+07,4.19373e+07,4.1088e+08,6.69644e+06,25.9392,25.9392,25.9392,24.0486,0,2.62611,0,7.46939e+07
01/04/2009 18:00,1,4,0,18,0,1,43,2.97901e+07,3.63481e+07,4.34949e+08,6.69644e+06,25.4676,25.4676,25.4676,24.0486,0,2.42182,0,5.16994e+07
01/04/2009 19:00,1,4,0,19,0,1,43,5.60348e+06,2.21156e+07,2.56798e+08,6.69644e+06,27.6327,27.6327,27.6327,24.0486,0,0.904431,0,4.87992e+07
01/04/2009 20:00,1,4,0,20,0,-1,55,6.15174e+06,1.4552e+07,2.39827e+08,6.69644e+06,27.9561,27.9561,27.9561,24.0486,0,0.645591,0,3.7952e+07
01/04/2009 21:00,1,4,0,21,0,-1,60,0,1.22571e+07,2.3065e+08,6.69644e+06,28.9463,28.9463,28.9463,24.0486,0,0.382889,0,2.8224e+07
01/04/2009 22:00,1,4,0,22,0,2,37,0,0,9.34125e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/04/2009 23:00,1,4,0,23,0,2,44,0,0,4.26477e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 00:00,1,5,1,0,0,2,44,0,0,4.26477e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 01:00,1,5,1,1,0,3,41,0,0,3.65669e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 02:00,1,5,1,2,0,3,41,0,0,3.65669e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 03:00,1,5,1,3,0,4,39,0,0,3.65669e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 04:00,1,5,1,4,0,5,39,0,0,3.65669e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 05:00,1,5,1,5,0,4,42,0,0,3.65669e+07,6.69644e+06,29.7928,29.7928,29.7928,29.7928,0,0,0,0
01/05/2009 06:00,1,5,1,6,0,2,44,3.16893e+07,0,7.36574e+07,6.69644e+06,20.884,20.884,23.9564,20.7924,0.769923,0.417233,4.42535e+07,6.32454e+06
01/05/2009 07:00,1,5,1,7,0,2,44,1.78846e+07,0,6.30595e+07,6.69644e+06,19.2954,19.2954,24.0486,19.2954,0.557886,0,3.99192e+07,0
01/05/2009 08:00,1,5,1,8,0,3,41,1.36901e+07,0,1.00389e+08,6.69644e+06,19.222,19.222,24.0486,19.222,0.389136,0,2.82745e+07,0
01/05/2009 09:00,1,5,1,9,0,4,42,9.1116e+06,0,1.71228e+08,6.69644e+06,19.2488,19.2488,24.0486,19.2488,0.271483,0,1.96164e+07,0
01/05/2009 10:00,1,5,1,10,0,5.9,36,4.80741e+06,6.40042e+06,3.49264e+08,6.69644e+06,21.047,21.047,24.0486,21.047,0.325136,0,1.14854e+07,0
01/05/2009 11:00,1,5,1,11,0,7,34,3.91415e+06,2.86184e+07,3.20386e+08,6.69644e+06,28.1105,28.1105,28.1105,24.0486,0,1.0919,0,6.75344e+07
01/05/2009 12:00,1,5,1,12,0,7,34,2.79872e+06,4.60537e+07,3.80725e+08,6.69644e+06,30.1398,30.1398,30.1398,24.0486,0,1.73728,0,1.5933e+08
01/05/2009 13:00,1,5,1,13,0,7,34,1.94937e+07,5.50599e+07,3.68603e+08,6.69644e+06,28.0078,28.0078,28.0078,24.0486,0,2.76341,0,1.64618e+08
01/05/2009 14:00,1,5,1,14,0,8,34,1.85926e+07,5.07843e+07,3.62336e+08,6.69644e+06,27.655,27.655,27.655,24.0486,0,2.52155,0,1.36826e+08
01/05/2009 15:00,1,5,1,15,0,8,32,1.8385e+07,6.00732e+07,4.13958e+08,6.69644e+06,28.0163,28.0163,28.0163,24.0486,0,2.88702,0,1.72355e+08
01/05/2009 16:00,1,5,1,16,0,7,34,1.98575e+07,6.45926e+07,4.20869e+08,6.69644e+06,28.0479,28.0479,28.0479,24.0486,0,3.12325,0,1.8794e+08
01/05/2009 17:00,1,5,1,17,0,6,33,2.1805e+07,5.49139e+07,4.11383e+08,6.69644e+06,27.5073,27.5073,27.5073,24.0486,0,2.80756,0,1.46105e+08
01/05/2009 18:00,1,5,1,18,0,4,38,2.5154e+07,4.60524e+07,4.41388e+08,6.69644e+06,26.6755,26.6755,26.6755,24.0486,0,2.59301,0,1.02483e+08
01/05/2009 19:00,1,5,1,19,0,3,41,4.97318e+06,2.86609e+07,2.63801e+08,6.69644e+06,28.5426,28.5426,28.5426,24.0486,0,1.11464,0,7.53724e+07
01/05/2009 20:00,1,5,1,20,0,2,44,5.35017e+06,1.87505e+07,2.43903e+08,6.69644e+06,28.729,28.729,28.729,24.0486,0,0.766544,0,5.39824e+07
01/05/2009 21:00,1,5,1,21,0,4,42,0,1.78346e+07,2.37211e+08,6.69644e+06,29.6788,29.6788,29.6788,24.0486,0,0.586513,0,4.9695e+07
01/05/2009 22:00,1,5,1,22,0,-1,55,0,0,9.34125e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/05/2009 23:00,1,5,1,23,0,1,43,0,0,4.26477e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 00:00,1,6,2,0,0,1,51,0,0,4.26477e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 01:00,1,6,2,1,0,2,44,0,0,3.65669e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 02:00,1,6,2,2,0,3,41,0,0,3.65669e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 03:00,1,6,2,3,0,6,36,0,0,3.65669e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 04:00,1,6,2,4,0,4,38,0,0,3.65669e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 05:00,1,6,2,5,0,-1,60,0,0,3.65669e+07,6.69644e+06,30.3038,30.3038,30.3038,30.3038,0,0,0,0
01/06/2009 06:00,1,6,2,6,0,4,38,2.30643e+07,0,6.32336e+07,6.69644e+06,22.2307,22.2307,24.287,21.9558,0.519312,0.278007,2.08005e+07,1.03465e+07
01/06/2009 07:00,1,6,2,7,0,3,41,1.41361e+07,0,5.86146e+07,6.69644e+06,19.6672,19.6672,24.0486,19.6672,0.404824,0,2.66988e+07,0
01/06/2009 08:00,1,6,2,8,0,1,47,8.25135e+06,0,9.42497e+07,6.69644e+06,19.3589,19.3589,24.0486,19.3589,0.235268,0,1.6609e+07,0
01/06/2009 09:00,1,6,2,9,0,6,39,6.07767e+06,0,1.58934e+08,6.69644e+06,19.3171,19.3171,24.0486,19.3171,0.1581,0,1.12608e+07,0
01/06/2009 10:00,1,6,2,10,0,9,32,3.51075e+06,1.86453e+07,3.49012e+08,6.69644e+06,24.2269,24.2269,25.6974,22.5781,0.241401,0.472642,7.0425e+06,2.17477e+07
01/06/2009 11:00,1,6,2,11,0,10,28,2.22776e+06,3.78105e+07,3.70325e+08,6.69644e+06,29.8765,29.8765,29.8765,24.0486,0,1.39304,0,1.23408e+08
01/06/2009 12:00,1,6,2,12,0,11,24,0,6.29562e+07,3.98027e+08,6.69644e+06,30.5155,30.5155,30.5155,24.0486,0,2.37309,0,2.30948e+08
01/06/2009 13:00,1,6,2,13,0,12,24,1.20782e+07,7.48835e+07,4.2499e+08,6.69644e+06,29.3163,29.3163,29.3163,24.0486,0,3.25808,0,2.58252e+08
01/06/2009 14:00,1,6,2,14,0,12,24,1.21519e+07,7.67232e+07,4.27231e+08,6.69644e+06,29.2095,29.2095,29.2095,24.0486,0,3.3314,0,2.58706e+08
01/06/2009 15:00,1,6,2,15,0,12,24,1.24654e+07,7.45399e+07,4.24862e+08,6.69644e+06,29.1487,29.1487,29.1487,24.0486,0,3.24101,0,2.48725e+08
01/06/2009 16:00,1,6,2,16,0,11,26,1.39908e+07,7.57156e+07,4.27849e+08,6.69644e+06,28.9989,28.9989,28.9989,24.0486,0,3.34411,0,2.49095e+08
01/06/2009 17:00,1,6,2,17,0,4,59,2.46447e+07,6.14062e+07,4.22124e+08,6.69644e+06,27.5361,27.5361,27.5361,24.0486,0,3.18158,0,1.66947e+08
01/06/2009 18:00,1,6,2,18,0,1,79,2.93842e+07,5.116e+07,4.51964e+08,6.69644e+06,26.507,26.507,26.507,24.0486,0,2.96671,0,1.0973e+08
01/06/2009 19:00,1,6,2,19,0,-1,85,5.84154e+06,3.07319e+07,2.67166e+08,6.69644e+06,28.4047,28.4047,28.4047,24.0486,0,1.22755,0,8.04596e+07
01/06/2009 20:00,1,6,2,20,0,-3,92,6.4163e+06,2.08633e+07,2.47544e+08,6.69644e+06,28.455,28.455,28.455,24.0486,0,0.888593,0,5.89157e+07
01/06/2009 21:00,1,6,2,21,0,-3,92,0,1.83829e+07,2.37861e+08,6.69644e+06,29.5402,29.5402,29.5402,24.0486,0,0.607669,0,5.02214e+07
01/06/2009 22:00,1,6,2,22,0,-3,92,0,0,9.34125e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/06/2009 23:00,1,6,2,23,0,-4,100,0,0,4.26477e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 00:00,1,7,3,0,0,-4,84,0,0,4.26477e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 01:00,1,7,3,1,0,-4,84,0,0,3.44056e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 02:00,1,7,3,2,0,-5,84,0,0,3.44056e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 03:00,1,7,3,3,0,-4,84,0,0,3.44056e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 04:00,1,7,3,4,0,-1,66,0,0,3.44056e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 05:00,1,7,3,5,0,-1,66,0,0,3.44056e+07,6.69644e+06,30.2322,30.2322,30.2322,30.2322,0,0,0,0
01/07/2009 06:00,1,7,3,6,0,1,51,2.84234e+07,0,6.7536e+07,6.69644e+06,21.3952,21.3952,24.0986,21.2188,0.682739,0.351613,3.51731e+07,9.33227e+06
01/07/2009 07:00,1,7,3,7,0,3,45,1.48946e+07,0,5.73514e+07,6.69644e+06,19.3958,19.3958,24.0486,19.3958,0.435337,0,3.04915e+07,0
01/07/2009 08:00,1,7,3,8,0,1,47,1.38854e+07,0,6.24788e+07,6.69644e+06,19.2416,19.2416,24.0486,19.2416,0.396616,0,2.87009e+07,0
01/07/2009 09:00,1,7,3,9,0,2,52,7.17543e+06,0,1.24203e+08,6.69644e+06,19.2436,19.2436,24.0486,19.2436,0.201378,0,1.45666e+07,0
01/07/2009 10:00,1,7,3,10,0,7,40,3.48305e+06,1.17664e+07,2.41696e+08,6.69644e+06,22.949,22.949,24.6889,22.3087,0.206373,0.260467,7.76624e+06,5.67802e+06
01/07/2009 11:00,1,7,3,11,0,10,30,2.04075e+06,4.37269e+07,3.77188e+08,6.69644e+06,29.5968,29.5968,29.5968,24.0486,0,1.62358,0,1.38718e+08
01/07/2009 12:00,1,7,3,12,0,12,20,0,6.33895e+07,3.98562e+08,6.69644e+06,30.5334,30.5334,30.5334,24.0486,0,2.39403,0,2.33628e+08
01/07/2009 13:00,1,7,3,13,0,13,17,1.0477e+07,7.68706e+07,4.25706e+08,6.69644e+06,29.5163,29.5163,29.5163,24.0486,0,3.28432,0,2.70163e+08
01/07/2009 14:00,1,7,3,14,0,13,17,1.04204e+07,8.20273e+07,4.31776e+08,6.69644e+06,29.4794,29.4794,29.4794,24.0486,0,3.49197,0,2.85363e+08
01/07/2009 15:00,1,7,3,15,0,13,17,1.05576e+07,8.21229e+07,4.31983e+08,6.69644e+06,29.4698,29.4698,29.4698,24.0486,0,3.49379,0,2.85006e+08
01/07/2009 16:00,1,7,3,16,0,7,56,1.94545e+07,7.38975e+07,4.31559e+08,6.69644e+06,28.4361,28.4361,28.4361,24.0486,0,3.49095,0,2.30464e+08
