Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.34004e+07,15.3049,15.3049,15.3049,15.3049,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,1.34004e+07,15.3049,15.3049,15.3049,15.3049,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,42918.7,0,1.34437e+07,15.3051,15.3051,20.2671,15.3051,6.63343e-05,0,4958.74,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.34004e+07,15.3052,15.3052,15.3052,15.3052,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,93963.3,0,1.35059e+07,15.3098,15.3098,20.2671,15.3098,0.00229101,0,171096,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.34004e+07,15.3143,15.3143,15.3143,15.3143,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,60356.9,0,1.45786e+07,15.3161,15.3161,20.2671,15.3161,0.000817949,0,61008.6,0
01/01/2009 08:00,1,1,4,8,0,-1,100,62191.5,0,1.1209e+07,15.3195,15.3195,20.2671,15.3195,0.000901611,0,67202.4,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,1.03484e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.11423e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,1.00222e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,1.03167e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,1.04062e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.06111e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.11423e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.11423e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.09951e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.45141e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.45141e+07,15.3211,15.3211,15.3211,15.3211,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,352597,0,1.49225e+07,15.3253,15.3253,20.2671,15.3253,0.0110251,0,820640,0
01/01/2009 21:00,1,1,4,21,0,-5,84,141094,0,1.46676e+07,15.3306,15.3306,20.2671,15.3306,0.00247543,0,184094,0
01/01/2009 22:00,1,1,4,22,0,-6,100,71558.3,0,1.45923e+07,15.3332,15.3332,20.2671,15.3332,0.00132539,0,98515.1,0
01/01/2009 23:00,1,1,4,23,0,-7,84,737299,0,1.53847e+07,15.3236,15.3236,20.2671,15.3236,0.0264284,0,1.96852e+06,0
01/02/2009 00:00,1,2,5,0,0,-7,84,884976,0,1.55603e+07,15.3078,15.3078,20.2671,15.3078,0.0320279,0,2.3929e+06,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.7144e+07,15.3048,15.3048,15.3048,15.3048,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,1.7144e+07,15.3048,15.3048,15.3048,15.3048,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,1.7144e+07,15.3048,15.3048,15.3048,15.3048,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,130344,0,1.72903e+07,15.306,15.306,20.2671,15.306,0.00315683,0,235917,0
01/02/2009 05:00,1,2,5,5,0,-12,91,410628,0,1.76099e+07,15.3028,15.3028,20.2671,15.3028,0.0109378,0,818007,0
01/02/2009 06:00,1,2,5,6,0,-15,83,932232,0,2.00802e+07,15.2621,15.2621,20.2671,15.2621,0.0345879,0,2.608e+06,0
01/02/2009 07:00,1,2,5,7,0,-14,83,2.46882e+07,0,4.89589e+07,15.5772,15.5772,20.2671,15.5772,0.836556,0,5.91633e+07,0
01/02/2009 08:00,1,2,5,8,0,-13,83,2.30584e+07,0,5.15081e+07,15.6444,15.6444,20.2671,15.6444,0.954963,0,6.65002e+07,0
01/02/2009 09:00,1,2,5,9,0,-11,84,1.39612e+07,0,6.29245e+07,15.6639,15.6639,20.2671,15.6639,0.646708,0,4.48446e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,1.10684e+07,0,6.03015e+07,15.7027,15.7027,20.2671,15.7027,0.49593,0,3.4099e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,9.59612e+06,0,5.81752e+07,15.7146,15.7146,20.2671,15.7146,0.422904,0,2.9002e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.13466e+06,0,5.20292e+07,15.7194,15.7194,20.2671,15.7194,0.30537,0,2.09199e+07,0
01/02/2009 13:00,1,2,5,13,0,-5,54,7.69081e+06,0,4.87591e+07,15.7269,15.7269,20.2671,15.7269,0.330722,0,2.2619e+07,0
01/02/2009 14:00,1,2,5,14,0,-5,54,5.89203e+06,0,5.41744e+07,15.7301,15.7301,20.2671,15.7301,0.247814,0,1.69369e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,3.424e+06,0,4.67514e+07,15.7287,15.7287,20.2671,15.7287,0.138735,0,9.48475e+06,0
01/02/2009 16:00,1,2,5,16,0,-7,92,4.30442e+06,0,5.26933e+07,15.7182,15.7182,20.2671,15.7182,0.179588,0,1.23063e+07,0
01/02/2009 17:00,1,2,5,17,0,-8,92,3.63627e+06,0,5.11404e+07,15.7091,15.7091,20.2671,15.7091,0.14973,0,1.02806e+07,0
01/02/2009 18:00,1,2,5,18,0,-8,92,6.59987e+06,0,4.2013e+07,15.7023,15.7023,20.2671,15.7023,0.281828,0,1.93795e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,8.72135e+06,0,3.39359e+07,15.6885,15.6885,20.2671,15.6885,0.38233,0,2.63699e+07,0
01/02/2009 20:00,1,2,5,20,0,-11,84,0,0,2.33021e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/02/2009 21:00,1,2,5,21,0,-11,91,0,0,1.96404e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,1.96404e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,1.63449e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,1.45141e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,1.7144e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,1.7144e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,1.7144e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,0,0,1.7144e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 05:00,1,3,6,5,0,-14,76,0,0,1.7144e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 06:00,1,3,6,6,0,-14,76,0,0,1.89748e+07,15.6878,15.6878,15.6878,15.6878,0,0,0,0
01/03/2009 07:00,1,3,6,7,0,-14,76,1.83334e+07,0,4.15017e+07,15.5961,15.5961,20.2671,15.5961,0.61625,0,4.34011e+07,0
01/03/2009 08:00,1,3,6,8,0,-17,83,1.46831e+07,0,4.18214e+07,15.6117,15.6117,20.2671,15.6117,0.693092,0,4.8606e+07,0
01/03/2009 09:00,1,3,6,9,0,-13,69,6.89082e+06,0,5.19124e+07,15.654,15.654,20.2671,15.654,0.299771,0,2.08323e+07,0
01/03/2009 10:00,1,3,6,10,0,-11,70,4.65631e+06,0,4.79759e+07,15.6815,15.6815,20.2671,15.6815,0.195757,0,1.35224e+07,0
01/03/2009 11:00,1,3,6,11,0,-9,53,4.40367e+06,0,4.84032e+07,15.7007,15.7007,20.2671,15.7007,0.184819,0,1.27134e+07,0
01/03/2009 12:00,1,3,6,12,0,-8,49,3.76022e+06,0,4.79025e+07,15.7141,15.7141,20.2671,15.7141,0.155314,0,1.06524e+07,0
01/03/2009 13:00,1,3,6,13,0,-7,41,3.1463e+06,0,4.30787e+07,15.7295,15.7295,20.2671,15.7295,0.131102,0,8.96126e+06,0
01/03/2009 14:00,1,3,6,14,0,-7.1,43,2.07077e+06,0,4.51169e+07,15.7284,15.7284,20.2671,15.7284,0.0831163,0,5.68267e+06,0
01/03/2009 15:00,1,3,6,15,0,-7.8,48,1.37813e+06,0,4.42745e+07,15.7122,15.7122,20.2671,15.7122,0.0534717,0,3.66898e+06,0
01/03/2009 16:00,1,3,6,16,0,-9,58,1.04671e+06,0,4.50639e+07,15.6962,15.6962,20.2671,15.6962,0.0410949,0,2.82965e+06,0
01/03/2009 17:00,1,3,6,17,0,-9,58,1.04864e+06,0,4.82995e+07,15.6918,15.6918,20.2671,15.6918,0.0411385,0,2.83534e+06,0
01/03/2009 18:00,1,3,6,18,0,-9,58,3.66226e+06,0,3.84253e+07,15.7027,15.7027,20.2671,15.7027,0.151274,0,1.04014e+07,0
01/03/2009 19:00,1,3,6,19,0,-9,58,5.40418e+06,0,2.98542e+07,15.6988,15.6988,20.2671,15.6988,0.228925,0,1.57543e+07,0
01/03/2009 20:00,1,3,6,20,0,-9,53,0,0,2.33021e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/03/2009 21:00,1,3,6,21,0,-8,58,0,0,1.96404e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/03/2009 22:00,1,3,6,22,0,-9,70,0,0,1.96404e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-9,70,0,0,1.63449e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-9,70,0,0,1.45141e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-8,64,0,0,1.7144e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-10,70,0,0,1.7144e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-9,70,0,0,1.7144e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-10,76,0,0,1.7144e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-8,70,0,0,1.7144e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-9.6,70,0,0,1.89748e+07,15.6949,15.6949,15.6949,15.6949,0,0,0,0
01/04/2009 07:00,1,4,0,7,0,-11,70,1.49524e+07,0,3.76101e+07,15.6253,15.6253,20.2671,15.6253,0.513519,0,3.59445e+07,0
01/04/2009 08:00,1,4,0,8,0,-8,64,1.11798e+07,0,3.73733e+07,15.6986,15.6986,20.2671,15.6986,0.503574,0,3.46557e+07,0
01/04/2009 09:00,1,4,0,9,0,-4,45,6.37332e+06,0,5.5236e+07,15.7417,15.7417,20.2671,15.7417,0.274401,0,1.8706e+07,0
01/04/2009 10:00,1,4,0,10,0,-1,32,3.3519e+06,0,4.73958e+07,15.7708,15.7708,20.2671,15.7708,0.135815,0,9.19895e+06,0
01/04/2009 11:00,1,4,0,11,0,0,32,3.15719e+06,0,4.86262e+07,15.7813,15.7813,20.2671,15.7813,0.126708,0,8.56201e+06,0
01/04/2009 12:00,1,4,0,12,0,1,33,2.93162e+06,0,5.02689e+07,15.7893,15.7893,20.2671,15.7893,0.116581,0,7.86356e+06,0
01/04/2009 13:00,1,4,0,13,0,2,34,3.36438e+06,0,4.62102e+07,15.798,15.798,20.2671,15.798,0.135359,0,9.11244e+06,0
01/04/2009 14:00,1,4,0,14,0,3,29,1.05658e+06,0,4.34299e+07,15.8056,15.8056,20.2671,15.8056,0.0386059,0,2.59458e+06,0
01/04/2009 15:00,1,4,0,15,0,4,32,628248,0,4.38151e+07,15.81,15.81,20.2671,15.81,0.0225286,0,1.51258e+06,0
01/04/2009 16:00,1,4,0,16,0,2,40,429809,0,4.47584e+07,15.8052,15.8052,20.2671,15.8052,0.0142857,0,960178,0
01/04/2009 17:00,1,4,0,17,0,1,43,320939,0,4.66762e+07,15.7977,15.7977,20.2671,15.7977,0.00976558,0,657479,0
01/04/2009 18:00,1,4,0,18,0,1,43,1.97777e+06,0,3.63667e+07,15.7927,15.7927,20.2671,15.7927,0.076534,0,5.15859e+06,0
01/04/2009 19:00,1,4,0,19,0,1,43,3.35114e+06,0,2.73328e+07,15.7903,15.7903,20.2671,15.7903,0.135275,0,9.12256e+06,0
01/04/2009 20:00,1,4,0,20,0,-1,55,0,0,2.33021e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/04/2009 21:00,1,4,0,21,0,-1,60,0,0,1.96404e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/04/2009 22:00,1,4,0,22,0,2,37,0,0,1.96404e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/04/2009 23:00,1,4,0,23,0,2,44,0,0,1.63449e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 00:00,1,5,1,0,0,2,44,0,0,1.45141e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 01:00,1,5,1,1,0,3,41,0,0,1.7144e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 02:00,1,5,1,2,0,3,41,0,0,1.7144e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 03:00,1,5,1,3,0,4,39,0,0,1.7144e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 04:00,1,5,1,4,0,5,39,0,0,1.7144e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 05:00,1,5,1,5,0,4,42,0,0,1.7144e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 06:00,1,5,1,6,0,2,44,0,0,1.89748e+07,15.7897,15.7897,15.7897,15.7897,0,0,0,0
01/05/2009 07:00,1,5,1,7,0,2,44,7.64071e+06,0,2.92996e+07,15.7415,15.7415,20.2671,15.7415,0.313715,0,2.14426e+07,0
01/05/2009 08:00,1,5,1,8,0,3,41,6.51322e+06,0,3.15563e+07,15.8023,15.8023,20.2671,15.8023,0.273443,0,1.83905e+07,0
01/05/2009 09:00,1,5,1,9,0,4,42,2.95812e+06,0,5.10355e+07,15.8147,15.8147,20.2671,15.8147,0.117293,0,7.86696e+06,0
01/05/2009 10:00,1,5,1,10,0,5.9,36,1.74846e+06,0,4.9565e+07,15.8297,15.8297,20.2671,15.8297,0.0651771,0,4.35662e+06,0
01/05/2009 11:00,1,5,1,11,0,7,34,433973,0,4.23935e+07,15.8358,15.8358,20.2671,15.8358,0.0140778,0,939710,0
01/05/2009 12:00,1,5,1,12,0,7,34,158421,0,4.39609e+07,15.8357,15.8357,20.2671,15.8357,0.00457817,0,305608,0
01/05/2009 13:00,1,5,1,13,0,7,34,412050,0,3.97388e+07,15.835,15.835,20.2671,15.835,0.0115914,0,773880,0
01/05/2009 14:00,1,5,1,14,0,8,34,0,0,4.30723e+07,15.8356,15.8356,15.8356,15.8356,0,0,0,0
01/05/2009 15:00,1,5,1,15,0,8,32,0,154287,4.28037e+07,16.7895,16.7895,18.7899,16.7895,0.00507091,0,236764,0
01/05/2009 16:00,1,5,1,16,0,7,34,0,147910,4.39763e+07,19.1971,19.1971,20.2671,19.1971,0.00410665,0,64109.6,0
01/05/2009 17:00,1,5,1,17,0,6,33,0,0,4.63056e+07,20.0203,20.0203,20.0203,20.0203,0,0,0,0
01/05/2009 18:00,1,5,1,18,0,4,38,141396,0,3.41644e+07,19.6905,19.6905,20.2054,19.6905,0.0039837,0,39790.5,0
01/05/2009 19:00,1,5,1,19,0,3,41,737557,0,2.41712e+07,17.7541,17.7541,20.2671,17.7541,0.0258797,0,1.01772e+06,0
01/05/2009 20:00,1,5,1,20,0,2,44,0,0,2.33021e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/05/2009 21:00,1,5,1,21,0,4,42,0,0,1.96404e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/05/2009 22:00,1,5,1,22,0,-1,55,0,0,1.96404e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/05/2009 23:00,1,5,1,23,0,1,43,0,0,1.63449e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 00:00,1,6,2,0,0,1,51,0,0,1.45141e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 01:00,1,6,2,1,0,2,44,0,0,1.7144e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 02:00,1,6,2,2,0,3,41,0,0,1.7144e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 03:00,1,6,2,3,0,6,36,0,0,1.7144e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 04:00,1,6,2,4,0,4,38,0,0,1.7144e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 05:00,1,6,2,5,0,-1,60,0,0,1.7144e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 06:00,1,6,2,6,0,4,38,0,0,1.89748e+07,16.6651,16.6651,16.6651,16.6651,0,0,0,0
01/06/2009 07:00,1,6,2,7,0,3,41,4.6977e+06,0,2.57786e+07,15.7927,15.7927,20.2671,15.7927,0.197874,0,1.32174e+07,0
01/06/2009 08:00,1,6,2,8,0,1,47,3.61744e+06,0,2.80292e+07,15.7927,15.7927,20.2671,15.7927,0.146929,0,9.90316e+06,0
01/06/2009 09:00,1,6,2,9,0,6,39,304463,0,4.57882e+07,15.7977,15.7977,20.2671,15.7977,0.00875726,0,589596,0
01/06/2009 10:00,1,6,2,10,0,9,32,0,0,4.23361e+07,15.8036,15.8036,15.8036,15.8036,0,0,0,0
01/06/2009 11:00,1,6,2,11,0,10,28,0,169635,4.28212e+07,16.9926,16.9926,19.1512,16.9926,0.00553098,0,250267,0
01/06/2009 12:00,1,6,2,12,0,11,24,0,872729,4.48222e+07,23.062,23.062,23.1883,17.435,0.0218071,0.0132655,38209,1.50105e+06
01/06/2009 13:00,1,6,2,13,0,12,24,0,1.05769e+06,4.10487e+07,26.3689,26.3689,26.3689,20.2671,0,0.0432505,0,3.97051e+06
01/06/2009 14:00,1,6,2,14,0,12,24,0,1.24608e+06,4.46991e+07,26.7985,26.7985,26.7985,20.2671,0,0.0517424,0,5.0847e+06
01/06/2009 15:00,1,6,2,15,0,12,24,0,1.0116e+06,4.38363e+07,26.8395,26.8395,26.8395,20.2671,0,0.0412204,0,4.07613e+06
01/06/2009 16:00,1,6,2,16,0,11,26,0,1.16523e+06,4.52035e+07,26.8572,26.8572,26.8572,20.2671,0,0.0473925,0,4.69916e+06
01/06/2009 17:00,1,6,2,17,0,4,59,0,644389,4.70657e+07,26.9194,26.9194,26.9194,20.2671,0,0.023736,0,2.37935e+06
01/06/2009 18:00,1,6,2,18,0,1,79,0,0,3.40029e+07,27.0629,27.0629,27.0629,27.0629,0,0,0,0
01/06/2009 19:00,1,6,2,19,0,-1,85,157574,0,2.34834e+07,26.0569,26.0569,26.0569,21.9661,0,0.00470959,0,388875
01/06/2009 20:00,1,6,2,20,0,-3,92,0,0,2.33021e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/06/2009 21:00,1,6,2,21,0,-3,92,0,0,1.96404e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/06/2009 22:00,1,6,2,22,0,-3,92,0,0,1.96404e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/06/2009 23:00,1,6,2,23,0,-4,100,0,0,1.63449e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 00:00,1,7,3,0,0,-4,84,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 01:00,1,7,3,1,0,-4,84,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 02:00,1,7,3,2,0,-5,84,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 03:00,1,7,3,3,0,-4,84,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 04:00,1,7,3,4,0,-1,66,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 05:00,1,7,3,5,0,-1,66,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 06:00,1,7,3,6,0,1,51,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 07:00,1,7,3,7,0,3,45,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 08:00,1,7,3,8,0,1,47,0,0,1.11423e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 09:00,1,7,3,9,0,2,52,0,0,1.03484e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 10:00,1,7,3,10,0,7,40,0,0,1.02589e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 11:00,1,7,3,11,0,10,30,0,0,1.01694e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 12:00,1,7,3,12,0,12,20,0,0,1.04004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 13:00,1,7,3,13,0,13,17,0,0,1.04899e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 14:00,1,7,3,14,0,13,17,0,0,1.03744e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 15:00,1,7,3,15,0,13,17,0,0,1.03167e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 16:00,1,7,3,16,0,7,56,0,0,1.04062e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 17:00,1,7,3,17,0,4,64,0,0,1.08161e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 18:00,1,7,3,18,0,2,62,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 19:00,1,7,3,19,0,-1,71,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 20:00,1,7,3,20,0,-2,71,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 21:00,1,7,3,21,0,-1,66,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 22:00,1,7,3,22,0,-1,66,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/07/2009 23:00,1,7,3,23,0,-1,66,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 00:00,1,8,4,0,0,-2,65,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 01:00,1,8,4,1,0,-1,66,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 02:00,1,8,4,2,0,-2,65,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 03:00,1,8,4,3,0,-1,60,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 04:00,1,8,4,4,0,-1,66,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 05:00,1,8,4,5,0,-2,71,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 06:00,1,8,4,6,0,-2,78,0,0,1.34004e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 07:00,1,8,4,7,0,-2,78,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 08:00,1,8,4,8,0,-2,71,0,0,1.11423e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 09:00,1,8,4,9,0,-3,84,0,0,1.03484e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 10:00,1,8,4,10,0,-2,85,0,0,1.05534e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 11:00,1,8,4,11,0,-2,85,0,0,1.09951e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 12:00,1,8,4,12,0,-2,78,0,0,1.08479e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 13:00,1,8,4,13,0,-1,78,0,0,1.06111e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 14:00,1,8,4,14,0,1,56,0,0,1.02589e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 15:00,1,8,4,15,0,1,56,0,0,1.01694e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 16:00,1,8,4,16,0,0,60,0,0,1.04062e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 17:00,1,8,4,17,0,-3,77,0,0,1.08161e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 18:00,1,8,4,18,0,-5,92,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 19:00,1,8,4,19,0,-6,100,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 20:00,1,8,4,20,0,-6,92,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 21:00,1,8,4,21,0,-6,84,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 22:00,1,8,4,22,0,-4,77,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/08/2009 23:00,1,8,4,23,0,-5,77,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/09/2009 00:00,1,9,5,0,0,-4,65,0,0,1.45141e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/09/2009 01:00,1,9,5,1,0,-6,77,0,0,1.7144e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/09/2009 02:00,1,9,5,2,0,-3,46,0,0,1.7144e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/09/2009 03:00,1,9,5,3,0,-2,42,0,0,1.7144e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
01/09/2009 04:00,1,9,5,4,0,-2,38,0,0,1.7144e+07,24.5519,24.5519,24.5519,24.5519,0,0,0,0
