Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,GasFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,3.47601e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,3.47601e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,3.47601e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,3.47601e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,3.47601e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,3.47601e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,4.08408e+07,6.69644e+06,20.515,20.515,20.515,20.515,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,6.79113e+07,0,1.04252e+08,6.69644e+06,20.4646,20.4646,22.7457,20.4646,4.68963,0,1.61155e+08,0
01/01/2009 09:00,1,1,4,9,0,0,92,2.74649e+07,0,5.4906e+07,6.69644e+06,20.5103,20.5103,22.7457,20.5103,1.99875,0,6.72478e+07,0
01/01/2009 10:00,1,1,4,10,0,2,80,3.19529e+07,0,8.46419e+07,6.69644e+06,20.5201,20.5201,22.7457,20.5201,2.38403,0,7.98576e+07,0
01/01/2009 11:00,1,1,4,11,0,2,80,8.45503e+06,0,1.46087e+08,6.69644e+06,20.5369,20.5369,22.7457,20.5369,0.536942,0,1.78506e+07,0
01/01/2009 12:00,1,1,4,12,0,1,79,7.80176e+06,0,1.45272e+08,6.69644e+06,20.5569,20.5569,22.7457,20.5569,0.480961,0,1.58448e+07,0
01/01/2009 13:00,1,1,4,13,0,3,63,2.69212e+07,924525,2.31469e+08,6.69644e+06,20.6822,20.6822,22.7457,20.6822,2.19109,0,6.80295e+07,0
01/01/2009 14:00,1,1,4,14,0,2,62,2.85678e+07,506927,2.32792e+08,6.69644e+06,20.6784,20.6784,22.7457,20.6784,2.30043,0,7.15785e+07,0
01/01/2009 15:00,1,1,4,15,0,1,67,3.0186e+07,4.38422e+06,2.75909e+08,6.69644e+06,20.9139,20.9139,22.7457,20.9139,2.68519,0,7.3011e+07,0
01/01/2009 16:00,1,1,4,16,0,1,67,3.02059e+07,9.2443e+06,2.81684e+08,6.69644e+06,21.6046,21.6046,22.7457,21.6046,3.00957,0,5.1685e+07,0
01/01/2009 17:00,1,1,4,17,0,0,72,3.1625e+07,1.03928e+07,2.84677e+08,6.69644e+06,21.7133,21.7133,22.7457,21.7133,3.22723,0,5.01435e+07,0
01/01/2009 18:00,1,1,4,18,0,-1,78,3.32727e+07,0,2.18068e+08,6.69644e+06,20.8682,20.8682,22.7457,20.8682,2.68885,0,7.59802e+07,0
01/01/2009 19:00,1,1,4,19,0,-2,71,8.4894e+06,0,1.12807e+08,6.69644e+06,20.6069,20.6069,22.7457,20.6069,0.530294,0,1.70741e+07,0
01/01/2009 20:00,1,1,4,20,0,-4,71,4.81852e+06,0,4.60469e+07,6.69644e+06,20.5543,20.5543,22.7457,20.5543,0.291978,0,9.63566e+06,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,4.08408e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,4.08408e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,0,0,4.08408e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/02/2009 00:00,1,2,5,0,0,-7,84,0,0,4.08408e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,3.69214e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/02/2009 02:00,1,2,5,2,0,-10,91,0,0,3.69214e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/02/2009 03:00,1,2,5,3,0,-10,91,0,0,3.69214e+07,6.69644e+06,20.5151,20.5151,20.5151,20.5151,0,0,0,0
01/02/2009 04:00,1,2,5,4,0,-11,91,760406,0,3.76842e+07,6.69644e+06,20.515,20.515,21.6304,20.515,0.00181995,0,61107.3,0
01/02/2009 05:00,1,2,5,5,0,-12,91,1.55702e+06,0,3.84876e+07,6.69644e+06,20.5139,20.5139,22.7457,20.5139,0.0068732,0,230878,0
01/02/2009 06:00,1,2,5,6,0,-15,83,9.76845e+07,0,1.51801e+08,6.69644e+06,20.4011,20.4011,22.7457,20.4011,6.39702,0,2.25512e+08,0
01/02/2009 07:00,1,2,5,7,0,-14,83,4.69387e+07,0,1.00263e+08,6.69644e+06,20.426,20.426,22.7457,20.426,3.84933,0,1.34398e+08,0
01/02/2009 08:00,1,2,5,8,0,-13,83,4.3339e+07,0,1.39142e+08,6.69644e+06,20.4303,20.4303,22.7457,20.4303,3.50646,0,1.22195e+08,0
01/02/2009 09:00,1,2,5,9,0,-11,84,2.12627e+07,0,1.79483e+08,6.69644e+06,20.4832,20.4832,22.7457,20.4832,1.47366,0,5.01815e+07,0
01/02/2009 10:00,1,2,5,10,0,-7,64,9.64953e+06,0,3.46963e+08,6.69644e+06,20.533,20.533,22.7457,20.533,0.620781,0,2.06736e+07,0
01/02/2009 11:00,1,2,5,11,0,-6,59,8.15034e+06,0,2.96866e+08,6.69644e+06,20.5632,20.5632,22.7457,20.5632,0.527687,0,1.73337e+07,0
01/02/2009 12:00,1,2,5,12,0,-6,59,7.14501e+06,1.65866e+07,3.15587e+08,6.69644e+06,22.9903,22.9903,25.1083,21.5282,1.07092,0.569027,2.97343e+07,1.9111e+07
01/02/2009 13:00,1,2,5,13,0,-5,54,3.8899e+07,2.0697e+07,3.5603e+08,6.69644e+06,22.7826,22.7826,22.9763,22.552,3.17761,1.53656,1.38371e+07,1.59937e+07
01/02/2009 14:00,1,2,5,14,0,-5,54,3.91608e+07,2.40406e+07,4.08837e+08,6.69644e+06,22.4743,22.4743,22.7457,22.4743,5.0242,0,2.05156e+07,0
01/02/2009 15:00,1,2,5,15,0,-6,77,4.02521e+07,3.33764e+07,4.14773e+08,6.69644e+06,22.859,22.859,22.859,22.7457,0,5.88999,0,1.006e+07
01/02/2009 16:00,1,2,5,16,0,-7,92,4.20408e+07,3.29266e+07,4.36488e+08,6.69644e+06,22.8427,22.8427,22.8427,22.7457,0,6.01373,0,8.77379e+06
01/02/2009 17:00,1,2,5,17,0,-8,92,4.36506e+07,3.10637e+07,4.29233e+08,6.69644e+06,22.715,22.715,22.7457,22.715,6.00154,0,2.77629e+06,0
01/02/2009 18:00,1,2,5,18,0,-8,92,4.38486e+07,2.7289e+07,4.4864e+08,6.69644e+06,22.5402,22.5402,22.7457,22.5402,5.7025,0,1.76324e+07,0
01/02/2009 19:00,1,2,5,19,0,-9,84,8.18242e+06,1.51799e+07,2.55807e+08,6.69644e+06,23.524,23.524,23.524,22.7457,0,1.61953,0,1.89954e+07
01/02/2009 20:00,1,2,5,20,0,-11,84,8.80305e+06,7.36155e+06,2.38313e+08,6.69644e+06,23.4338,23.4338,23.4338,22.7457,0,1.05052,0,1.08701e+07
01/02/2009 21:00,1,2,5,21,0,-11,91,1.70033e+06,6.73873e+06,2.29671e+08,6.69644e+06,23.803,23.803,23.803,22.7457,0,0.414937,0,6.6033e+06
01/02/2009 22:00,1,2,5,22,0,-11,91,0,0,9.48306e+07,6.69644e+06,24.3639,24.3639,24.3639,24.3639,0,0,0,0
01/02/2009 23:00,1,2,5,23,0,-12,83,0,0,4.30022e+07,6.69644e+06,24.3639,24.3639,24.3639,24.3639,0,0,0,0
01/03/2009 00:00,1,3,6,0,0,-12,83,0,0,4.30022e+07,6.69644e+06,24.3639,24.3639,24.3639,24.3639,0,0,0,0
01/03/2009 01:00,1,3,6,1,0,-13,83,0,0,3.69214e+07,6.69644e+06,24.3639,24.3639,24.3639,24.3639,0,0,0,0
01/03/2009 02:00,1,3,6,2,0,-13.2,79,0,0,3.69214e+07,6.69644e+06,24.3639,24.3639,24.3639,24.3639,0,0,0,0
01/03/2009 03:00,1,3,6,3,0,-13.6,77,0,0,3.69214e+07,6.69644e+06,24.3639,24.3639,24.3639,24.3639,0,0,0,0
01/03/2009 04:00,1,3,6,4,0,-14,76,1.53506e+06,0,3.84628e+07,6.69644e+06,24.3531,24.3531,24.3531,22.7457,0,0.00473886,0,114341
01/03/2009 05:00,1,3,6,5,0,-14,76,1.57229e+06,0,3.85047e+07,6.69644e+06,24.3099,24.3099,24.3099,22.7457,0,0.00824493,0,194036
01/03/2009 06:00,1,3,6,6,0,-14,76,8.02595e+07,0,1.32852e+08,6.69644e+06,20.5857,20.5857,22.7457,20.5857,5.84289,0,1.68279e+08,0
01/03/2009 07:00,1,3,6,7,0,-14,76,3.96924e+07,0,9.12094e+07,6.69644e+06,20.4305,20.4305,22.7457,20.4305,3.18602,0,1.11022e+08,0
01/03/2009 08:00,1,3,6,8,0,-17,83,3.87573e+07,0,1.33475e+08,6.69644e+06,20.4181,20.4181,22.7457,20.4181,3.11176,0,1.09014e+08,0
01/03/2009 09:00,1,3,6,9,0,-13,69,1.48713e+07,0,1.71959e+08,6.69644e+06,20.4825,20.4825,22.7457,20.4825,1.06981,0,3.64405e+07,0
01/03/2009 10:00,1,3,6,10,0,-11,70,8.76877e+06,4.3271e+06,3.44231e+08,6.69644e+06,21.0206,21.0206,22.7457,21.0206,0.838927,0,2.02118e+07,0
01/03/2009 11:00,1,3,6,11,0,-9,53,7.73458e+06,1.03427e+07,3.08815e+08,6.69644e+06,22.4793,22.4793,22.9218,22.3033,0.282944,0.978581,3.76781e+06,5.18504e+06
01/03/2009 12:00,1,3,6,12,0,-8,49,7.42896e+06,1.9962e+07,3.20072e+08,6.69644e+06,24.3314,24.3314,24.3314,22.7457,0,1.94973,0,4.67067e+07
01/03/2009 13:00,1,3,6,13,0,-7,41,4.16449e+07,2.83908e+07,3.6857e+08,6.69644e+06,22.8389,22.8389,22.9085,22.6761,3.73821,1.85992,5.8719e+06,1.36699e+07
01/03/2009 14:00,1,3,6,14,0,-7.1,43,4.16086e+07,3.37634e+07,3.75166e+08,6.69644e+06,22.8403,22.8403,22.8403,22.7457,0,6.05034,0,8.60884e+06
01/03/2009 15:00,1,3,6,15,0,-7.8,48,4.24987e+07,4.09076e+07,4.2663e+08,6.69644e+06,23.0867,23.0867,23.0867,22.7457,0,6.74194,0,3.45969e+07
01/03/2009 16:00,1,3,6,16,0,-9,58,4.44139e+07,4.34016e+07,4.3185e+08,6.69644e+06,23.1305,23.1305,23.1305,22.7457,0,7.1267,0,4.12657e+07
01/03/2009 17:00,1,3,6,17,0,-9,58,4.49459e+07,3.56234e+07,4.2956e+08,6.69644e+06,22.8686,22.8686,22.8686,22.7457,0,6.50568,0,1.20247e+07
01/03/2009 18:00,1,3,6,18,0,-9,58,4.53009e+07,2.98469e+07,4.53423e+08,6.69644e+06,22.6113,22.6113,22.7457,22.6113,6.04924,0,1.22391e+07,0
01/03/2009 19:00,1,3,6,19,0,-9,58,8.08198e+06,1.70682e+07,2.58019e+08,6.69644e+06,23.6863,23.6863,23.6863,22.7457,0,1.76757,0,2.502e+07
01/03/2009 20:00,1,3,6,20,0,-9,53,8.21793e+06,9.50261e+06,2.4024e+08,6.69644e+06,23.7421,23.7421,23.7421,22.7457,0,1.1592,0,1.73742e+07
01/03/2009 21:00,1,3,6,21,0,-8,58,1.63129e+06,8.32299e+06,2.31489e+08,6.69644e+06,24.2369,24.2369,24.2369,22.7457,0,0.521265,0,1.16984e+07
01/03/2009 22:00,1,3,6,22,0,-9,70,0,0,9.48306e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/03/2009 23:00,1,3,6,23,0,-9,70,0,0,4.30022e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 00:00,1,4,0,0,0,-9,70,0,0,4.30022e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 01:00,1,4,0,1,0,-8,64,0,0,3.69214e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 02:00,1,4,0,2,0,-10,70,0,0,3.69214e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 03:00,1,4,0,3,0,-9,70,0,0,3.69214e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 04:00,1,4,0,4,0,-10,76,0,0,3.69214e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 05:00,1,4,0,5,0,-8,70,0,0,3.69214e+07,6.69644e+06,24.7923,24.7923,24.7923,24.7923,0,0,0,0
01/04/2009 06:00,1,4,0,6,0,-9.6,70,6.03879e+07,0,1.09488e+08,6.69644e+06,20.704,20.704,22.6255,20.704,4.55264,0,1.16411e+08,0
01/04/2009 07:00,1,4,0,7,0,-11,70,3.37571e+07,0,8.37586e+07,6.69644e+06,20.4496,20.4496,22.7457,20.4496,2.62753,0,9.08021e+07,0
01/04/2009 08:00,1,4,0,8,0,-8,64,2.96826e+07,0,1.22054e+08,6.69644e+06,20.4595,20.4595,22.7457,20.4595,2.25063,0,7.74439e+07,0
01/04/2009 09:00,1,4,0,9,0,-4,45,1.60549e+07,0,1.82601e+08,6.69644e+06,20.5043,20.5043,22.7457,20.5043,1.15616,0,3.90031e+07,0
01/04/2009 10:00,1,4,0,10,0,-1,32,6.17482e+06,1.82146e+06,2.96765e+08,6.69644e+06,20.6757,20.6757,22.7457,20.6757,0.484465,0,1.46506e+07,0
01/04/2009 11:00,1,4,0,11,0,0,32,5.97478e+06,8.93993e+06,3.0508e+08,6.69644e+06,22.2556,22.2556,22.9339,22.0674,0.627018,0.354248,6.71988e+06,3.01003e+06
01/04/2009 12:00,1,4,0,12,0,1,33,5.7523e+06,2.10368e+07,3.67923e+08,6.69644e+06,24.4074,24.4074,24.4074,22.7457,0,1.90495,0,4.889e+07
01/04/2009 13:00,1,4,0,13,0,2,34,2.88377e+07,2.52612e+07,3.98803e+08,6.69644e+06,23.2964,23.2964,23.2964,22.7457,0,4.21325,0,3.47482e+07
01/04/2009 14:00,1,4,0,14,0,3,29,2.67033e+07,3.68163e+07,3.62271e+08,6.69644e+06,23.5648,23.5648,23.5648,22.7457,0,4.98786,0,6.15822e+07
01/04/2009 15:00,1,4,0,15,0,4,32,2.48916e+07,4.39807e+07,4.10736e+08,6.69644e+06,23.952,23.952,23.952,22.7457,0,5.44303,0,9.87943e+07
01/04/2009 16:00,1,4,0,16,0,2,40,2.78819e+07,4.67315e+07,4.17476e+08,6.69644e+06,23.9269,23.9269,23.9269,22.7457,0,5.93996,0,1.05563e+08
01/04/2009 17:00,1,4,0,17,0,1,43,2.96684e+07,4.14937e+07,4.19729e+08,6.69644e+06,23.698,23.698,23.698,22.7457,0,5.64333,0,8.08591e+07
01/04/2009 18:00,1,4,0,18,0,1,43,3.00412e+07,3.61306e+07,4.44107e+08,6.69644e+06,23.4825,23.4825,23.4825,22.7457,0,5.2175,0,5.7845e+07
01/04/2009 19:00,1,4,0,19,0,1,43,5.62673e+06,2.21114e+07,2.6145e+08,6.69644e+06,24.5138,24.5138,24.5138,22.7457,0,1.9653,0,5.23046e+07
01/04/2009 20:00,1,4,0,20,0,-1,55,6.1812e+06,1.46445e+07,2.44284e+08,6.69644e+06,24.6623,24.6623,24.6623,22.7457,0,1.4092,0,4.06288e+07
01/04/2009 21:00,1,4,0,21,0,-1,60,0,1.25143e+07,2.34986e+08,6.69644e+06,25.1427,25.1427,25.1427,22.7457,0,0.857288,0,3.09211e+07
01/04/2009 22:00,1,4,0,22,0,2,37,0,0,9.48306e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/04/2009 23:00,1,4,0,23,0,2,44,0,0,4.30022e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 00:00,1,5,1,0,0,2,44,0,0,4.30022e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 01:00,1,5,1,1,0,3,41,0,0,3.69214e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 02:00,1,5,1,2,0,3,41,0,0,3.69214e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 03:00,1,5,1,3,0,4,39,0,0,3.69214e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 04:00,1,5,1,4,0,5,39,0,0,3.69214e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 05:00,1,5,1,5,0,4,42,0,0,3.69214e+07,6.69644e+06,25.5395,25.5395,25.5395,25.5395,0,0,0,0
01/05/2009 06:00,1,5,1,6,0,2,44,3.14137e+07,0,7.49335e+07,6.69644e+06,21.3276,21.3276,22.7181,21.2762,1.62173,0.873114,4.21987e+07,7.42224e+06
01/05/2009 07:00,1,5,1,7,0,2,44,1.77839e+07,0,6.38841e+07,6.69644e+06,20.5666,20.5666,22.7457,20.5666,1.17524,0,3.85449e+07,0
01/05/2009 08:00,1,5,1,8,0,3,41,1.33693e+07,0,1.01825e+08,6.69644e+06,20.5309,20.5309,22.7457,20.5309,0.798753,0,2.66267e+07,0
01/05/2009 09:00,1,5,1,9,0,4,42,9.05968e+06,0,1.74284e+08,6.69644e+06,20.5432,20.5432,22.7457,20.5432,0.572241,0,1.89693e+07,0
01/05/2009 10:00,1,5,1,10,0,5.9,36,4.82402e+06,6.78483e+06,3.56377e+08,6.69644e+06,21.4751,21.4751,22.7607,21.4601,0.593009,0.143333,1.06052e+07,225862
01/05/2009 11:00,1,5,1,11,0,7,34,3.90948e+06,2.83091e+07,3.26437e+08,6.69644e+06,24.7756,24.7756,24.7756,22.7457,0,2.34878,0,7.24383e+07
01/05/2009 12:00,1,5,1,12,0,7,34,2.79239e+06,4.54885e+07,3.88105e+08,6.69644e+06,25.6751,25.6751,25.6751,22.7457,0,3.73279,0,1.64592e+08
01/05/2009 13:00,1,5,1,13,0,7,34,1.96496e+07,5.39371e+07,3.75746e+08,6.69644e+06,24.6611,24.6611,24.6611,22.7457,0,5.89397,0,1.69844e+08
01/05/2009 14:00,1,5,1,14,0,8,34,1.87403e+07,5.01259e+07,3.69754e+08,6.69644e+06,24.5028,24.5028,24.5028,22.7457,0,5.41009,0,1.4302e+08
01/05/2009 15:00,1,5,1,15,0,8,32,1.85306e+07,5.90647e+07,4.22243e+08,6.69644e+06,24.6705,24.6705,24.6705,22.7457,0,6.17537,0,1.78826e+08
01/05/2009 16:00,1,5,1,16,0,7,34,2.0017e+07,6.34732e+07,4.2931e+08,6.69644e+06,24.6842,24.6842,24.6842,22.7457,0,6.67801,0,1.94762e+08
01/05/2009 17:00,1,5,1,17,0,6,33,2.1983e+07,5.415e+07,4.19891e+08,6.69644e+06,24.4325,24.4325,24.4325,22.7457,0,6.02074,0,1.52797e+08
01/05/2009 18:00,1,5,1,18,0,4,38,2.53629e+07,4.5669e+07,4.50532e+08,6.69644e+06,24.0476,24.0476,24.0476,22.7457,0,5.58224,0,1.09346e+08
01/05/2009 19:00,1,5,1,19,0,3,41,4.99e+06,2.85661e+07,2.68592e+08,6.69644e+06,24.9353,24.9353,24.9353,22.7457,0,2.41618,0,7.95922e+07
01/05/2009 20:00,1,5,1,20,0,2,44,5.37142e+06,1.87309e+07,2.48367e+08,6.69644e+06,25.0177,25.0177,25.0177,22.7457,0,1.66441,0,5.68882e+07
01/05/2009 21:00,1,5,1,21,0,4,42,0,1.78304e+07,2.41476e+08,6.69644e+06,25.4674,25.4674,25.4674,22.7457,0,1.27922,0,5.23844e+07
01/05/2009 22:00,1,5,1,22,0,-1,55,0,0,9.48306e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/05/2009 23:00,1,5,1,23,0,1,43,0,0,4.30022e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 00:00,1,6,2,0,0,1,51,0,0,4.30022e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 01:00,1,6,2,1,0,2,44,0,0,3.69214e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 02:00,1,6,2,2,0,3,41,0,0,3.69214e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 03:00,1,6,2,3,0,6,36,0,0,3.69214e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 04:00,1,6,2,4,0,4,38,0,0,3.69214e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 05:00,1,6,2,5,0,-1,60,0,0,3.69214e+07,6.69644e+06,25.7573,25.7573,25.7573,25.7573,0,0,0,0
01/06/2009 06:00,1,6,2,6,0,4,38,2.27435e+07,0,6.40396e+07,6.69644e+06,21.9761,21.9761,22.88,21.8362,1.09004,0.574253,1.91457e+07,1.08745e+07
01/06/2009 07:00,1,6,2,7,0,3,41,1.4087e+07,0,5.93402e+07,6.69644e+06,20.7485,20.7485,22.7457,20.7485,0.85498,0,2.57e+07,0
01/06/2009 08:00,1,6,2,8,0,1,47,8.18758e+06,0,9.58407e+07,6.69644e+06,20.5978,20.5978,22.7457,20.5978,0.494429,0,1.59836e+07,0
01/06/2009 09:00,1,6,2,9,0,6,39,6.05102e+06,0,1.61718e+08,6.69644e+06,20.5767,20.5767,22.7457,20.5767,0.33394,0,1.09017e+07,0
01/06/2009 10:00,1,6,2,10,0,9,32,3.51431e+06,1.88362e+07,3.5608e+08,6.69644e+06,22.9575,22.9575,23.5939,22.1093,0.534381,1.03441,6.37848e+06,2.43262e+07
01/06/2009 11:00,1,6,2,11,0,10,28,2.21404e+06,3.69403e+07,3.76903e+08,6.69644e+06,25.5614,25.5614,25.5614,22.7457,0,2.95819,0,1.26424e+08
01/06/2009 12:00,1,6,2,12,0,11,24,0,6.19785e+07,4.0567e+08,6.69644e+06,25.8495,25.8495,25.8495,22.7457,0,5.07894,0,2.37186e+08
01/06/2009 13:00,1,6,2,13,0,12,24,1.2166e+07,7.33545e+07,4.33052e+08,6.69644e+06,25.281,25.281,25.281,22.7457,0,6.94187,0,2.64774e+08
01/06/2009 14:00,1,6,2,14,0,12,24,1.2237e+07,7.51077e+07,4.35273e+08,6.69644e+06,25.2302,25.2302,25.2302,22.7457,0,7.09416,0,2.65168e+08
01/06/2009 15:00,1,6,2,15,0,12,24,1.25538e+07,7.2999e+07,4.32894e+08,6.69644e+06,25.2015,25.2015,25.2015,22.7457,0,6.90558,0,2.55134e+08
01/06/2009 16:00,1,6,2,16,0,11,26,1.40943e+07,7.41143e+07,4.35939e+08,6.69644e+06,25.1301,25.1301,25.1301,22.7457,0,7.12331,0,2.55528e+08
01/06/2009 17:00,1,6,2,17,0,4,59,2.4849e+07,6.03596e+07,4.30748e+08,6.69644e+06,24.4422,24.4422,24.4422,22.7457,0,6.80656,0,1.73732e+08
01/06/2009 18:00,1,6,2,18,0,1,79,2.96317e+07,5.05759e+07,4.6133e+08,6.69644e+06,23.9644,23.9644,23.9644,22.7457,0,6.37285,0,1.16856e+08
01/06/2009 19:00,1,6,2,19,0,-1,85,5.86703e+06,3.05742e+07,2.72022e+08,6.69644e+06,24.8677,24.8677,24.8677,22.7457,0,2.65572,0,8.47805e+07
01/06/2009 20:00,1,6,2,20,0,-3,92,6.44814e+06,2.07782e+07,2.52081e+08,6.69644e+06,24.8871,24.8871,24.8871,22.7457,0,1.92325,0,6.19601e+07
01/06/2009 21:00,1,6,2,21,0,-3,92,0,1.83734e+07,2.42145e+08,6.69644e+06,25.4024,25.4024,25.4024,22.7457,0,1.32483,0,5.29588e+07
01/06/2009 22:00,1,6,2,22,0,-3,92,0,0,9.48306e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/06/2009 23:00,1,6,2,23,0,-4,100,0,0,4.30022e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 00:00,1,7,3,0,0,-4,84,0,0,4.30022e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 01:00,1,7,3,1,0,-4,84,0,0,3.47601e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 02:00,1,7,3,2,0,-5,84,0,0,3.47601e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 03:00,1,7,3,3,0,-4,84,0,0,3.47601e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 04:00,1,7,3,4,0,-1,66,0,0,3.47601e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 05:00,1,7,3,5,0,-1,66,0,0,3.47601e+07,6.69644e+06,25.7241,25.7241,25.7241,25.7241,0,0,0,0
01/07/2009 06:00,1,7,3,6,0,1,51,2.83255e+07,0,6.88316e+07,6.69644e+06,21.5687,21.5687,22.7861,21.4774,1.43879,0.733562,3.33535e+07,1.00835e+07
01/07/2009 07:00,1,7,3,7,0,3,45,1.48348e+07,0,5.80961e+07,6.69644e+06,20.615,20.615,22.7457,20.615,0.918802,0,2.94647e+07,0
01/07/2009 08:00,1,7,3,8,0,1,47,1.3688e+07,0,6.33666e+07,6.69644e+06,20.5406,20.5406,22.7457,20.5406,0.824954,0,2.73795e+07,0
01/07/2009 09:00,1,7,3,9,0,2,52,7.17109e+06,0,1.26394e+08,6.69644e+06,20.541,20.541,22.7457,20.541,0.427585,0,1.41885e+07,0
01/07/2009 10:00,1,7,3,10,0,7,40,3.48549e+06,1.24634e+07,2.47092e+08,6.69644e+06,22.4743,22.4743,23.1618,22.0582,0.537405,0.533874,6.97933e+06,7.97088e+06
01/07/2009 11:00,1,7,3,11,0,10,30,2.0259e+06,4.32226e+07,3.84489e+08,6.69644e+06,25.4726,25.4726,25.4726,22.7457,0,3.48772,0,1.45378e+08
01/07/2009 12:00,1,7,3,12,0,12,20,0,6.23698e+07,4.06175e+08,6.69644e+06,25.8629,25.8629,25.8629,22.7457,0,5.1192,0,2.40093e+08
01/07/2009 13:00,1,7,3,13,0,13,17,1.05473e+07,7.53229e+07,4.33761e+08,6.69644e+06,25.3793,25.3793,25.3793,22.7457,0,6.99687,0,2.77172e+08
01/07/2009 14:00,1,7,3,14,0,13,17,1.04884e+07,8.02326e+07,4.39776e+08,6.69644e+06,25.3605,25.3605,25.3605,22.7457,0,7.42705,0,2.92165e+08
01/07/2009 15:00,1,7,3,15,0,13,17,1.06276e+07,8.03158e+07,4.39974e+08,6.69644e+06,25.3554,25.3554,25.3554,22.7457,0,7.4309,0,2.91752e+08
01/07/2009 16:00,1,7,3,16,0,7,56,1.961e+07,7.23929e+07,4.39966e+08,6.69644e+06,24.8661,24.8661,24.8661,22.7457,0,7.44346,0,2.37445e+08
