Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,CoolingElectricity,ElectricityFacility,District Heating Inlet Temperature,District Cooling Inlet Temperature,District Heating Outlet Temperature,District Cooling Outlet Temperature,District Heating Mass Flow Rate,District Cooling Mass Flow Rate,District Heating Hot Water Energy,District Cooling Chilled Water Energy
01/01/2009 01:00,1,1,4,1,0,-3,92,0,0,1.62195e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 02:00,1,1,4,2,0,-3,77,0,0,1.62195e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 03:00,1,1,4,3,0,-4,77,0,0,1.62195e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 04:00,1,1,4,4,0,-2,78,0,0,1.62195e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 05:00,1,1,4,5,0,-2,85,0,0,1.62195e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 06:00,1,1,4,6,0,-1,92,0,0,1.62195e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 07:00,1,1,4,7,0,-1,100,0,0,1.73332e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 08:00,1,1,4,8,0,-1,100,0,0,1.39614e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 09:00,1,1,4,9,0,0,92,0,0,1.28279e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 10:00,1,1,4,10,0,2,80,0,0,1.39614e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 11:00,1,1,4,11,0,2,80,0,0,1.23622e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 12:00,1,1,4,12,0,1,79,0,0,1.27826e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 13:00,1,1,4,13,0,3,63,0,0,1.29104e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 14:00,1,1,4,14,0,2,62,0,0,1.3203e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 15:00,1,1,4,15,0,1,67,0,0,1.39614e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 16:00,1,1,4,16,0,1,67,0,0,1.39614e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 17:00,1,1,4,17,0,0,72,0,0,1.37512e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 18:00,1,1,4,18,0,-1,78,0,0,1.73332e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 19:00,1,1,4,19,0,-2,71,0,0,1.73332e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 20:00,1,1,4,20,0,-4,71,0,0,1.73332e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 21:00,1,1,4,21,0,-5,84,0,0,1.73332e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 22:00,1,1,4,22,0,-6,100,0,0,1.73332e+07,22.5346,22.5346,22.5346,22.5346,0,0,0,0
01/01/2009 23:00,1,1,4,23,0,-7,84,44424.9,0,1.73831e+07,22.5101,22.5101,22.5868,22.5101,0.00189394,0,4373.39,0
01/02/2009 00:00,1,2,5,0,0,-7,84,85092.8,0,1.74284e+07,22.352,22.352,22.639,22.352,0.00346028,0,14941.5,0
01/02/2009 01:00,1,2,5,1,0,-9,84,0,0,1.99631e+07,22.2691,22.2691,22.2691,22.2691,0,0,0,0
